Filename,Birth,Death,Publish,ActivityYear,SUM,傳記類_%,公車類_%,公車類_%,哀祭類_%,序跋類_%,書簡類_%,詩類_%,雜著類_%
510. 동계집(東谿集).xml,1693,1737,1741,1715,342,13.157894736842104,2.631578947368421,0.0,10.818713450292398,23.099415204678362,9.941520467836257,10.23391812865497,30.116959064327485
408. 서하집(西河集).xml,1633,1688,1701,1660,729,2.194787379972565,13.168724279835391,0.0,4.938271604938271,3.5665294924554183,6.310013717421124,67.3525377229081,2.4691358024691357
490. 청천집(靑泉集).xml,1681,1752,1770,1716,586,1.3651877133105803,0.5119453924914675,0.0,6.313993174061433,7.508532423208192,10.238907849829351,54.09556313993175,19.965870307167236
119. 양곡집(陽谷集).xml,1486,1562,1571,1524,1032,3.10077519379845,0.3875968992248062,0.0,0.1937984496124031,1.065891472868217,0.0,94.28294573643412,0.9689922480620154
413. 우헌집(寓軒集).xml,1636,1690,1833,1663,313,2.8753993610223643,5.111821086261981,0.0,6.3897763578274756,3.1948881789137378,9.584664536741213,69.32907348242811,3.5143769968051117
491. 남당집(南塘集).xml,1682,1751,1765,1716,691,3.4732272069464547,3.907380607814761,0.0,1.7366136034732274,5.354558610709118,43.70477568740955,30.96960926193922,10.85383502170767
494. 병계집(屛溪集).xml,1683,1767,1802,1725,1411,9.355067328136075,6.73281360737066,0.0,3.8979447200566972,2.97661233167966,50.673281360737064,21.47413182140326,4.890148830616584
492. 관복암시고(觀復菴詩稿).xml,1682,1700,1709,1691,244,0.4098360655737705,0.0,0.0,0.0,0.4098360655737705,0.0,99.18032786885246,0.0
427. 유재집(游齋集).xml,1647,1703,,1675,1030,2.4271844660194173,2.1359223300970873,0.0,1.4563106796116505,3.8834951456310676,0.9708737864077669,81.45631067961165,7.669902912621359
397. 문곡집(文谷集).xml,1629,1689,1699,1659,1234,4.051863857374392,21.961102106969204,0.0,2.4311183144246353,1.4586709886547813,6.645056726094004,61.50729335494327,1.9448946515397085
391. 갈암집(葛庵集).xml,1627,1704,1909,1665,986,10.446247464503044,13.691683569979714,0.0,8.316430020283976,4.36105476673428,34.27991886409736,26.064908722109532,2.839756592292089
107. 충재집(冲齋集).xml,1478,1548,1671,1513,89,7.865168539325842,7.865168539325842,0.0,10.112359550561797,4.49438202247191,6.741573033707865,40.44943820224719,22.47191011235955
499. 일암유고(一庵遺稿).xml,1685,1741,,1713,108,11.11111111111111,12.962962962962962,0.0,7.4074074074074066,2.7777777777777777,53.70370370370371,0.0,12.037037037037036
426. 후재집(厚齋集).xml,1646,1732,1766,1689,886,3.611738148984198,6.772009029345373,0.0,3.0474040632054176,2.4830699774266365,16.02708803611738,12.641083521444695,55.417607223476296
