제목,저자,생년,몰년,활동연도,公車類,書簡類,序跋類,詩類,哀祭類,雜著類,傳記類
松陰文集,南龍燮,1734,1817,1775,0,4.901960784,8.333333333,66.17647059,14.70588235,5.882352941,0
損齋先生文集,南漢朝,1744,1809,1776,0,67.20321932,0.60362173,27.36418511,0,4.828973843,0
立齋先生文集,鄭宗魯,1738,1816,1777,0,18.64650828,5.399568035,56.37149028,2.447804176,3.311735061,13.82289417
龜窩先生文集續,金?,1739,1816,1777,0,44.52054795,4.109589041,10.95890411,17.80821918,5.479452055,17.12328767
龜窩先生文集,金?,1739,1816,1777,0,23.59550562,14.98127341,34.45692884,7.865168539,1.872659176,17.22846442
苟完齋文集,李萬?,1740,1814,1777,0,15.625,6.25,50.78125,21.09375,2.34375,3.90625
竹窩公集,李光浩,1741,1813,1777,0,0,0.617283951,99.38271605,0,0,0
不變堂遺稿,朴東?,1749,1808,1778,0,9.895833333,3.125,80.20833333,5.729166667,0.520833333,0.520833333
宜庵集,安德文,1747,1811,1779,0,18.87254902,9.31372549,64.46078431,1.225490196,6.12745098,0
典庵文集,姜鼎煥,1741,1817,1779,0,5.543710021,3.624733475,83.58208955,1.70575693,4.051172708,1.492537313
遯窩遺稿,楊宗楷,1744,1815,1779,0,16.35883905,3.957783641,66.49076517,12.40105541,0.263852243,0.527704485
?窩集,李逸協,1750,1808,1779,0,0,9.708737864,48.54368932,0,39.80582524,1.941747573
晩寓齋文集,琴英澤,1739,1820,1779,0,2.356902357,2.02020202,95.28619529,0,0.336700337,0
忍窩文集,李述賢,1736,1822,1779,0,3.731343284,2.985074627,79.10447761,8.208955224,5.970149254,0
稼隱集,成彦根,1740,1818,1779,0,5.85106383,6.382978723,72.34042553,6.382978723,6.914893617,2.127659574
癡庵集,南景羲,1748,1812,1780,0,7.130730051,6.62139219,64.51612903,5.432937182,10.86587436,5.432937182
懼菴集,李樹仁,1739,1822,1780,0,5.298013245,3.973509934,78.58719647,5.518763797,4.194260486,2.428256071
